[2016-04-23 00:33:43.518336] 149, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:33:52.437270] 150, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:34:01.356423] 151, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:34:10.275190] 152, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:34:19.194206] 153, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:34:28.113035] 154, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:34:37.032154] 155, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:34:45.951201] 156, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:34:54.870217] 157, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:35:03.789005] 158, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:35:12.708318] 159, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:35:21.626890] 160, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:35:30.545753] 161, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:35:39.464876] 162, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:35:48.383265] 163, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:35:57.302181] 164, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:36:06.220784] 165, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:36:15.139654] 166, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:36:24.058713] 167, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:36:32.977471] 168, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:36:41.896358] 169, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:36:50.814975] 170, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:36:59.733465] 171, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:37:08.652454] 172, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:37:17.571083] 173, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:37:26.490114] 174, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:37:35.409064] 175, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:37:44.328052] 176, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:37:53.247368] 177, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:38:02.166768] 178, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:38:11.086039] 179, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:38:20.005097] 180, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:38:28.924983] 181, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:38:37.842882] 182, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:38:46.761633] 183, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:38:55.680569] 184, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:39:04.599425] 185, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:39:13.518815] 186, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:39:22.437385] 187, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:39:31.356564] 188, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:39:40.275209] 189, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:39:49.193894] 190, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:39:58.112663] 191, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:40:07.031570] 192, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:40:15.950239] 193, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:40:24.869116] 194, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:40:33.787705] 195, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:40:42.706346] 196, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:40:51.624700] 197, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:41:00.543323] 198, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:41:09.461676] 199, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:41:18.379701] 200, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:41:27.298381] 201, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:41:36.216886] 202, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:41:45.135262] 203, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:41:54.053473] 204, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:42:02.971318] 205, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:42:11.889593] 206, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:42:20.807232] 207, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:42:29.725331] 208, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:42:38.643324] 209, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:42:47.561495] 210, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:42:56.479584] 211, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:43:05.397541] 212, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:43:14.315422] 213, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:43:23.232880] 214, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:43:32.150866] 215, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:43:41.068726] 216, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:43:49.985850] 217, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:43:58.903438] 218, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:44:07.820808] 219, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:44:16.738026] 220, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:44:25.655369] 221, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:44:34.573200] 222, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:44:43.490934] 223, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:44:52.408207] 224, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:45:01.325793] 225, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:45:10.243328] 226, Vcc = 3.13 V, Vbat = 4.15 V
[2016-04-23 00:45:19.160496] 227, Vcc = 3.12 V, Vbat = 4.15 V
[2016-04-23 00:45:28.077770] 228, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:45:36.994101] 229, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:45:45.911396] 230, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:45:54.828834] 231, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:46:03.745463] 232, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:46:12.661858] 233, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:46:21.578613] 234, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:46:30.495293] 235, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:46:39.412663] 236, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:46:48.329767] 237, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:46:57.246385] 238, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:47:06.163386] 239, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:47:15.079662] 240, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:47:23.996602] 241, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:47:32.913775] 242, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:47:41.830597] 243, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:47:50.747752] 244, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:47:59.665183] 245, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:48:08.582231] 246, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:48:17.499576] 247, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:48:26.416633] 248, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:48:35.333808] 249, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:48:44.250559] 250, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:48:53.166916] 251, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:49:02.084018] 252, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:49:11.000784] 253, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:49:19.917990] 254, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:49:28.834389] 255, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:49:37.751219] 256, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:49:46.667798] 257, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:49:55.584270] 258, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:50:04.501043] 259, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:50:13.417372] 260, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:50:22.333699] 261, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:50:31.249982] 262, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:50:40.166430] 263, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:50:49.083388] 264, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:50:57.999602] 265, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:51:06.916427] 266, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:51:15.832859] 267, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:51:24.748885] 268, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:51:33.665226] 269, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:51:42.581261] 270, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:51:51.497299] 271, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:52:00.412852] 272, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:52:09.328951] 273, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:52:18.245069] 274, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:52:27.160905] 275, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:52:36.076618] 276, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:52:44.992080] 277, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:52:53.907747] 278, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:53:02.823923] 279, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:53:11.739703] 280, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:53:20.655794] 281, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:53:29.571347] 282, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:53:38.487134] 283, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:53:47.402486] 284, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:53:56.318459] 285, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:54:05.234357] 286, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:54:14.149600] 287, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:54:23.064411] 288, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:54:31.980094] 289, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:54:40.895924] 290, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:54:49.811400] 291, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:54:58.726709] 292, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:55:07.642492] 293, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:55:16.558204] 294, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:55:25.473332] 295, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:55:34.388807] 296, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:55:43.303910] 297, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:55:52.219473] 298, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:56:01.135147] 299, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:56:10.050355] 300, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:56:18.965084] 301, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:56:27.880378] 302, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:56:36.795278] 303, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:56:45.710142] 304, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:56:54.625414] 305, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:57:03.541038] 306, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:57:12.456445] 307, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:57:21.371772] 308, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:57:30.286837] 309, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:57:39.201581] 310, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:57:48.115927] 311, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:57:57.030887] 312, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:58:05.945569] 313, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:58:14.860073] 314, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:58:23.774304] 315, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:58:32.688932] 316, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:58:41.603833] 317, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:58:50.518315] 318, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:58:59.432638] 319, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:59:08.346895] 320, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:59:17.261060] 321, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:59:26.175482] 322, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:59:35.090275] 323, Vcc = 3.13 V, Vbat = 4.14 V
[2016-04-23 00:59:44.004923] 324, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 00:59:52.919136] 325, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:00:01.833801] 326, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:00:10.748816] 327, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:00:19.663074] 328, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:00:28.577951] 329, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:00:37.492248] 330, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:00:46.406761] 331, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:00:55.321224] 332, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:01:04.235300] 333, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:01:13.149227] 334, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:01:22.063849] 335, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:01:30.978289] 336, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:01:39.892878] 337, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:01:48.807499] 338, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:01:57.721333] 339, Vcc = 3.12 V, Vbat = 4.14 V
[2016-04-23 01:02:06.636205] 340, Vcc = 3.12 V, Vbat = 4.14 V
