date,time,vcc,vbat
2016/10/08,04:14:28,3.38,3.70
2016/10/08,04:15:26,3.36,3.69
2016/10/08,04:16:26,3.37,3.70
2016/10/08,04:17:26,3.40,3.70
2016/10/08,04:18:25,3.36,3.69
2016/10/08,04:19:25,3.36,3.70
2016/10/08,04:20:25,3.38,3.69
2016/10/08,04:21:24,3.39,3.69
2016/10/08,04:22:24,3.39,3.69
2016/10/08,04:23:24,3.38,3.69
2016/10/08,04:24:23,3.38,3.68
2016/10/08,04:25:23,3.38,3.67
2016/10/08,04:26:23,3.39,3.68
2016/10/08,04:27:22,3.39,3.69
2016/10/08,04:28:22,3.34,3.67
2016/10/08,04:29:22,3.39,3.68
2016/10/08,04:30:21,3.39,3.69
2016/10/08,04:31:20,3.39,3.69
2016/10/08,04:32:20,3.38,3.68
2016/10/08,04:33:20,3.39,3.68
2016/10/08,04:34:20,3.39,3.69
2016/10/08,04:35:19,3.38,3.68
2016/10/08,04:36:19,3.35,3.68
2016/10/08,04:37:18,3.38,3.68
2016/10/08,04:38:18,3.36,3.69
2016/10/08,04:39:18,3.39,3.67
2016/10/08,04:40:17,3.39,3.68
2016/10/08,04:41:17,3.38,3.67
2016/10/08,04:42:17,3.38,3.66
2016/10/08,04:43:16,3.38,3.67
2016/10/08,04:44:16,3.38,3.67
2016/10/08,04:45:16,3.39,3.66
2016/10/08,04:46:15,3.37,3.66
2016/10/08,04:47:15,3.38,3.66
2016/10/08,04:48:15,3.38,3.66
2016/10/08,04:49:14,3.37,3.67
2016/10/08,04:50:14,3.39,3.66
2016/10/08,04:51:14,3.37,3.66
2016/10/08,04:52:13,3.39,3.66
2016/10/08,04:53:12,3.39,3.66
2016/10/08,04:54:12,3.39,3.66
2016/10/08,04:55:12,3.37,3.66
2016/10/08,04:56:12,3.39,3.66
2016/10/08,04:57:11,3.39,3.66
2016/10/08,04:58:10,3.39,3.66
2016/10/08,04:59:10,3.36,3.65
2016/10/08,05:00:10,3.37,3.65
2016/10/08,05:01:10,3.37,3.65
2016/10/08,05:02:09,3.38,3.65
2016/10/08,05:03:09,3.38,3.65
2016/10/08,05:04:08,3.40,3.66
2016/10/08,05:05:08,3.36,3.65
2016/10/08,05:06:07,3.40,3.65
2016/10/08,05:07:07,3.40,3.65
2016/10/08,05:08:07,3.37,3.65
2016/10/08,05:09:06,3.38,3.65
2016/10/08,05:10:06,3.39,3.65
2016/10/08,05:11:06,3.38,3.65
2016/10/08,05:12:05,3.40,3.64
2016/10/08,05:13:05,3.39,3.64
2016/10/08,05:14:04,3.36,3.64
2016/10/08,05:15:04,3.39,3.64
2016/10/08,05:16:04,3.37,3.63
2016/10/08,05:17:03,3.38,3.64
2016/10/08,05:18:03,3.39,3.64
2016/10/08,05:19:02,3.37,3.64
2016/10/08,05:20:02,3.39,3.64
2016/10/08,05:21:02,3.35,3.63
2016/10/08,05:22:01,3.39,3.64
2016/10/08,05:23:01,3.40,3.64
2016/10/08,05:24:01,3.36,3.63
2016/10/08,05:25:00,3.38,3.63
2016/10/08,05:26:00,3.39,3.63
2016/10/08,05:26:59,3.36,3.63
2016/10/08,05:27:59,3.36,3.63
2016/10/08,05:28:59,3.35,3.62
2016/10/08,05:29:59,3.36,3.63
2016/10/08,05:30:58,3.38,3.63
2016/10/08,05:31:57,3.36,3.63
2016/10/08,05:32:57,3.39,3.62
2016/10/08,05:33:56,3.36,3.63
2016/10/08,05:34:56,3.38,3.62
2016/10/08,05:35:55,3.38,3.62
2016/10/08,05:36:56,3.40,3.62
2016/10/08,05:37:55,3.37,3.61
2016/10/08,05:38:55,3.36,3.62
2016/10/08,05:39:54,3.38,3.62
2016/10/08,05:40:53,3.38,3.62
2016/10/08,05:41:53,3.36,3.62
2016/10/08,05:42:53,3.39,3.62
2016/10/08,05:43:52,3.39,3.62
2016/10/08,05:44:52,3.36,3.62
2016/10/08,05:45:52,3.36,3.62
2016/10/08,05:46:51,3.37,3.61
2016/10/08,05:47:50,3.35,3.62
2016/10/08,05:48:50,3.35,3.62
2016/10/08,05:49:50,3.38,3.61
2016/10/08,05:50:50,3.36,3.61
2016/10/08,05:51:49,3.40,3.60
2016/10/08,05:52:48,3.39,3.61
2016/10/08,05:53:47,3.38,3.60
2016/10/08,05:54:48,3.39,3.60
2016/10/08,05:55:47,3.38,3.60
2016/10/08,05:56:46,3.36,3.60
2016/10/08,05:57:46,3.38,3.61
2016/10/08,05:58:45,3.39,3.60
2016/10/08,05:59:45,3.38,3.61
2016/10/08,06:00:45,3.36,3.61
2016/10/08,06:01:44,3.38,3.60
2016/10/08,06:02:44,3.36,3.60
2016/10/08,06:03:43,3.40,3.60
2016/10/08,06:04:43,3.34,3.60
2016/10/08,06:05:43,3.38,3.60
2016/10/08,06:06:42,3.37,3.60
2016/10/08,06:07:42,3.37,3.60
2016/10/08,06:08:41,3.36,3.60
2016/10/08,06:09:41,3.34,3.59
2016/10/08,06:10:41,3.37,3.59
2016/10/08,06:11:41,3.39,3.60
2016/10/08,06:12:40,3.37,3.59
2016/10/08,06:13:39,3.38,3.59
2016/10/08,06:14:39,3.38,3.59
2016/10/08,06:15:38,3.38,3.60
2016/10/08,06:16:38,3.40,3.59
2016/10/08,06:17:38,3.38,3.59
2016/10/08,06:18:37,3.38,3.60
2016/10/08,06:19:36,3.39,3.60
2016/10/08,06:20:36,3.35,3.60
2016/10/08,06:21:36,3.39,3.59
2016/10/08,06:22:35,3.36,3.59
2016/10/08,06:23:35,3.38,3.58
2016/10/08,06:24:34,3.40,3.59
2016/10/08,06:25:34,3.39,3.59
2016/10/08,06:26:34,3.40,3.58
2016/10/08,06:27:34,3.39,3.59
2016/10/08,06:28:33,3.36,3.59
2016/10/08,06:29:33,3.38,3.58
2016/10/08,06:30:33,3.38,3.58
2016/10/08,06:31:31,3.38,3.58
2016/10/08,06:32:31,3.37,3.58
2016/10/08,06:33:31,3.38,3.58
2016/10/08,06:34:31,3.38,3.58
2016/10/08,06:35:30,3.36,3.58
2016/10/08,06:36:29,3.38,3.58
2016/10/08,06:37:29,3.40,3.58
2016/10/08,06:38:29,3.38,3.57
2016/10/08,06:39:28,3.37,3.58
2016/10/08,06:40:28,3.35,3.58
2016/10/08,06:41:27,3.39,3.58
2016/10/08,06:42:27,3.38,3.58
2016/10/08,06:43:27,3.39,3.57
2016/10/08,06:44:26,3.35,3.57
2016/10/08,06:45:26,3.39,3.56
2016/10/08,06:46:25,3.36,3.57
2016/10/08,06:47:25,3.38,3.57
2016/10/08,06:48:24,3.40,3.56
2016/10/08,06:49:24,3.38,3.56
2016/10/08,06:50:24,3.36,3.56
2016/10/08,06:51:24,3.38,3.56
2016/10/08,06:52:23,3.38,3.57
2016/10/08,06:53:22,3.36,3.56
2016/10/08,06:54:22,3.35,3.56
2016/10/08,06:55:21,3.36,3.56
2016/10/08,06:56:21,3.38,3.56
2016/10/08,06:57:21,3.40,3.56
2016/10/08,06:58:20,3.38,3.56
2016/10/08,06:59:20,3.38,3.56
2016/10/08,07:00:20,3.38,3.55
2016/10/08,07:01:19,3.40,3.56
2016/10/08,07:02:19,3.38,3.55
2016/10/08,07:03:19,3.38,3.56
2016/10/08,07:04:18,3.36,3.56
2016/10/08,07:05:18,3.38,3.54
2016/10/08,07:06:18,3.38,3.55
2016/10/08,07:07:17,3.39,3.55
2016/10/08,07:08:16,3.36,3.55
2016/10/08,07:09:16,3.36,3.55
2016/10/08,07:10:15,3.40,3.54
2016/10/08,07:11:15,3.38,3.55
2016/10/08,07:12:15,3.38,3.55
2016/10/08,07:13:15,3.39,3.55
2016/10/08,07:14:14,3.38,3.54
2016/10/08,07:15:13,3.36,3.55
2016/10/08,07:16:13,3.36,3.55
2016/10/08,07:17:12,3.39,3.55
2016/10/08,07:18:12,3.36,3.55
2016/10/08,07:19:12,3.38,3.54
2016/10/08,07:20:11,3.39,3.55
2016/10/08,07:21:11,3.39,3.54
2016/10/08,07:22:10,3.38,3.54
2016/10/08,07:23:10,3.38,3.54
2016/10/08,07:24:10,3.36,3.54
2016/10/08,07:25:09,3.34,3.55
2016/10/08,07:26:09,3.35,3.54
2016/10/08,07:27:09,3.35,3.53
2016/10/08,07:28:08,3.36,3.54
2016/10/08,07:29:07,3.38,3.54
2016/10/08,07:30:07,3.38,3.54
2016/10/08,07:31:07,3.35,3.53
2016/10/08,07:32:06,3.39,3.54
2016/10/08,07:33:06,3.38,3.54
2016/10/08,07:34:05,3.38,3.53
2016/10/08,07:35:05,3.35,3.52
2016/10/08,07:36:04,3.34,3.53
2016/10/08,07:37:04,3.38,3.54
2016/10/08,07:38:04,3.39,3.54
2016/10/08,07:39:03,3.38,3.53
2016/10/08,07:40:03,3.38,3.53
2016/10/08,07:41:02,3.36,3.54
2016/10/08,07:42:02,3.36,3.53
2016/10/08,07:43:01,3.38,3.52
2016/10/08,07:44:01,3.37,3.53
2016/10/08,07:45:00,3.38,3.53
2016/10/08,07:46:00,3.38,3.53
2016/10/08,07:47:00,3.38,3.52
2016/10/08,07:47:59,3.36,3.53
2016/10/08,07:48:59,3.40,3.53
2016/10/08,07:49:58,3.37,3.53
2016/10/08,07:50:58,3.35,3.53
2016/10/08,07:51:58,3.34,3.52
2016/10/08,07:52:57,3.38,3.52
2016/10/08,07:53:57,3.39,3.52
2016/10/08,07:54:56,3.35,3.52
2016/10/08,07:55:56,3.36,3.52
2016/10/08,07:56:55,3.38,3.52
2016/10/08,07:57:56,3.39,3.52
2016/10/08,07:58:54,3.34,3.52
2016/10/08,07:59:55,3.37,3.52
2016/10/08,08:00:54,3.36,3.52
2016/10/08,08:01:53,3.38,3.52
2016/10/08,08:02:53,3.36,3.51
2016/10/08,08:03:53,3.39,3.52
2016/10/08,08:04:52,3.38,3.51
2016/10/08,08:05:51,3.39,3.52
2016/10/08,08:06:51,3.36,3.52
2016/10/08,08:07:51,3.36,3.52
2016/10/08,08:08:50,3.39,3.52
2016/10/08,08:09:49,3.38,3.51
2016/10/08,08:10:50,3.36,3.52
2016/10/08,08:11:49,3.38,3.52
2016/10/08,08:12:48,3.38,3.51
2016/10/08,08:13:47,3.38,3.51
2016/10/08,08:14:47,3.35,3.51
2016/10/08,08:15:47,3.36,3.51
2016/10/08,08:16:46,3.38,3.51
2016/10/08,08:17:46,3.35,3.51
2016/10/08,08:18:45,3.38,3.51
2016/10/08,08:19:45,3.40,3.51
2016/10/08,08:20:45,3.38,3.51
