no,vcc,vbat,temp
683,4.77,2.72,21.50
684,4.77,2.70,21.50
685,4.81,2.68,21.50
686,4.77,2.69,21.50
687,4.13,2.69,22.00
688,3.78,2.67,21.50
689,3.47,2.67,21.50
690,3.20,2.67,21.50
0,2.98,2.67,21.50
1,2.79,2.67,21.50
