[2016-04-24 15:30:34.445517] 5
no,date,time,lat,lon,ele,speed,head,sat
[2016-04-24 15:30:34.458801] no,vcc,vbat
[2016-04-24 16:04:30.712127] 0,3.13,4.04
[2016-04-24 16:04:40.661004] 0,3.12,4.03
[2016-04-24 16:04:50.564138] 0,3.13,4.04
[2016-04-24 16:05:00.626954] 0,3.12,4.03
[2016-04-24 16:05:10.531496] 0,3.13,4.04
[2016-04-24 16:05:20.449498] 0,3.13,4.04
[2016-04-24 16:05:30.502503] 0,3.12,4.03
[2016-04-24 16:05:40.407195] 0,3.12,4.04
[2016-04-24 16:05:50.467514] 0,3.12,4.03
[2016-04-24 16:06:00.372207] 0,3.12,4.03
[2016-04-24 16:06:10.441429] 0,3.12,4.04
[2016-04-24 16:06:20.351282] 0,3.13,4.03
[2016-04-24 16:06:30.264751] 0,3.13,4.04
[2016-04-24 16:06:40.321623] 0,3.12,4.03
[2016-04-24 16:06:50.225692] 0,3.12,4.03
[2016-04-24 16:07:00.280355] 0,3.12,4.03
[2016-04-24 16:07:10.187798] 0,3.13,4.03
[2016-04-24 16:07:20.222377] 0,3.12,4.03
[2016-04-24 16:07:30.135625] 0,3.12,4.04
[2016-04-24 16:07:40.073274] 0,3.12,4.03
[2016-04-24 16:07:49.998229] 0,3.12,4.03
[2016-04-24 16:07:59.933467] 0,3.12,4.03
[2016-04-24 16:08:09.968103] 0,3.12,4.03
[2016-04-24 16:08:19.925317] 0,3.12,4.03
[2016-04-24 16:08:29.829218] 0,3.13,4.04
[2016-04-24 16:08:39.732794] 0,3.12,4.03
[2016-04-24 16:08:49.804287] 0,3.12,4.03
[2016-04-24 16:08:59.712720] 0,3.13,4.03
[2016-04-24 16:09:09.629950] 0,3.12,4.03
[2016-04-24 16:09:19.689721] 0,3.12,4.03
[2016-04-24 16:09:29.596326] 0,3.13,4.03
[2016-04-24 16:09:39.515344] 0,3.12,4.03
[2016-04-24 16:09:49.510628] 0,3.12,4.03
[2016-04-24 16:09:59.418230] 0,3.12,4.03
[2016-04-24 16:10:09.338575] 0,3.12,4.03
[2016-04-24 16:10:19.265847] 0,3.12,4.03
[2016-04-24 16:10:29.172151] 0,3.13,4.03
[2016-04-24 16:10:39.146215] 0,3.12,4.04
[2016-04-24 16:10:49.050335] 0,3.12,4.03
[2016-04-24 16:10:58.960177] 0,3.13,4.03
[2016-04-24 16:11:08.907200] 0,3.12,4.03
[2016-04-24 16:11:18.812868] 0,3.13,4.03
[2016-04-24 16:11:28.879561] 0,3.12,4.03
[2016-04-24 16:11:38.787790] 0,3.13,4.03
[2016-04-24 16:11:48.705465] 0,3.12,4.03
[2016-04-24 16:11:58.799295] 0,3.12,4.03
[2016-04-24 16:12:08.715284] 0,3.12,4.03
[2016-04-24 16:12:18.660323] 0,3.12,4.04
[2016-04-24 16:12:28.582904] 0,3.12,4.03
[2016-04-24 16:12:38.639496] 0,3.12,4.03
[2016-04-24 16:12:48.542272] 0,3.13,4.04
[2016-04-24 16:12:58.457973] 0,3.13,4.03
[2016-04-24 16:13:08.396045] 0,3.12,4.04
[2016-04-24 16:13:18.298659] 0,3.12,4.03
[2016-04-24 16:13:28.205759] 0,3.12,4.03
[2016-04-24 16:13:38.195945] 0,3.12,4.03
[2016-04-24 16:13:48.100656] 0,3.12,4.03
[2016-04-24 16:13:58.171046] 0,3.12,4.03
[2016-04-24 16:14:08.079093] 0,3.13,4.03
[2016-04-24 16:14:18.002796] 0,3.13,4.03
[2016-04-24 16:14:27.924089] 0,3.12,4.03
[2016-04-24 16:14:37.876000] 0,3.12,4.03
[2016-04-24 16:14:47.992283] 0,3.12,4.03
[2016-04-24 16:14:57.894810] 0,3.12,4.03
[2016-04-24 16:15:07.950553] 0,3.12,4.03
[2016-04-24 16:15:17.850975] 0,3.12,4.03
[2016-04-24 16:15:27.911875] 0,3.12,4.03
[2016-04-24 16:15:37.815068] 0,3.13,4.03
[2016-04-24 16:15:47.727129] 0,3.12,4.03
[2016-04-24 16:15:57.696426] 0,3.12,4.03
[2016-04-24 16:16:07.601471] 0,3.12,4.03
[2016-04-24 16:16:17.649754] 0,3.12,4.03
[2016-04-24 16:16:27.552453] 0,3.13,4.03
[2016-04-24 16:16:37.597263] 0,3.12,4.03
[2016-04-24 16:16:47.499125] 0,3.13,4.03
[2016-04-24 16:16:57.552107] 0,3.12,4.03
[2016-04-24 16:17:07.453447] 0,3.12,4.03
[2016-04-24 16:17:17.363998] 0,3.12,4.03
[2016-04-24 16:17:27.416201] 0,3.12,4.03
[2016-04-24 16:17:37.321959] 0,3.12,4.03
[2016-04-24 16:17:47.381503] 0,3.12,4.03
[2016-04-24 16:17:57.284078] 0,3.12,4.03
[2016-04-24 16:18:07.199337] 0,3.12,4.03
[2016-04-24 16:18:17.145297] 0,3.12,4.03
[2016-04-24 16:18:27.059076] 0,3.13,4.04
[2016-04-24 16:18:36.967528] 0,3.12,4.03
[2016-04-24 16:18:46.878007] 0,3.12,4.03
[2016-04-24 16:18:56.809555] 0,3.12,4.03
[2016-04-24 16:19:06.749613] 0,3.12,4.03
[2016-04-24 16:19:16.845654] 0,3.12,4.03
[2016-04-24 16:19:26.751894] 0,3.12,4.03
[2016-04-24 16:19:36.654368] 0,3.12,4.03
[2016-04-24 16:19:46.698820] 0,3.12,4.03
[2016-04-24 16:19:56.600783] 0,3.13,4.03
[2016-04-24 16:20:06.663211] 0,3.12,4.03
[2016-04-24 16:20:16.566419] 0,3.12,4.03
[2016-04-24 16:20:26.484759] 0,3.12,4.03
[2016-04-24 16:20:36.390487] 0,3.13,4.03
[2016-04-24 16:20:46.306346] 0,3.12,4.03
[2016-04-24 16:20:56.307011] 0,3.12,4.03
[2016-04-24 16:21:06.210467] 0,3.13,4.03
[2016-04-24 16:21:16.121385] 0,3.13,4.03
[2016-04-24 16:21:26.050095] 0,3.12,4.03
[2016-04-24 16:21:35.956243] 0,3.13,4.03
[2016-04-24 16:21:45.860752] 0,3.12,4.03
[2016-04-24 16:21:55.867865] 0,3.12,4.03
[2016-04-24 16:22:05.772565] 0,3.13,4.03
[2016-04-24 16:22:15.839282] 0,3.12,4.03
[2016-04-24 16:22:25.749834] 0,3.12,4.03
[2016-04-24 16:22:35.667979] 0,3.12,4.03
[2016-04-24 16:22:45.649903] 0,3.12,4.03
[2016-04-24 16:22:55.555240] 0,3.12,4.03
[2016-04-24 16:23:05.472498] 0,3.13,4.03
[2016-04-24 16:23:15.410832] 0,3.12,4.03
[2016-04-24 16:23:25.316461] 0,3.12,4.03
[2016-04-24 16:23:35.365984] 0,3.12,4.03
[2016-04-24 16:23:45.269772] 0,3.13,4.03
[2016-04-24 16:23:55.190170] 0,3.12,4.03
[2016-04-24 16:24:05.100571] 0,3.12,4.03
[2016-04-24 16:24:15.005499] 0,3.12,4.03
[2016-04-24 16:24:24.917864] 0,3.12,4.03
[2016-04-24 16:24:34.820301] 0,3.13,4.03
[2016-04-24 16:24:44.594054] 0,3.13.03
[2016-04-24 16:24:44.608574] KE UP
[2016-04-24 16:24:44.880098] 0,3.12,4.03
[2016-04-24 16:24:54.783125] 0,3.13,4.03
[2016-04-24 16:25:04.687514] 0,3.13,4.03
[2016-04-24 16:25:14.739655] 0,3.12,4.03
[2016-04-24 16:25:24.642394] 0,3.13,4.03
[2016-04-24 16:25:34.558047] 0,3.12,4.03
[2016-04-24 16:25:44.591707] 0,3.12,4.03
[2016-04-24 16:25:54.496678] 0,3.13,4.03
[2016-04-24 16:26:04.550260] 0,3.12,4.03
[2016-04-24 16:26:14.455770] 0,3.12,4.03
[2016-04-24 16:26:24.370872] 0,3.12,4.03
[2016-04-24 16:26:34.276053] 0,3.13,4.03
[2016-04-24 16:26:44.180499] 0,3.12,4.03
[2016-04-24 16:26:54.094303] 0,3.13,4.03
[2016-04-24 16:27:04.022437] 0,3.12,4.03
[2016-04-24 16:27:13.926459] 0,3.12,4.03
[2016-04-24 16:27:23.987786] 0,3.12,4.03
[2016-04-24 16:27:33.893966] 0,3.13,4.03
[2016-04-24 16:27:43.812643] 0,3.13,4.03
[2016-04-24 16:27:53.777738] 0,3.12,4.03
[2016-04-24 16:28:03.685952] 0,3.12,4.03
[2016-04-24 16:28:13.686576] 0,3.12,4.03
[2016-04-24 16:28:23.646782] 0,3.13,4.03
[2016-04-24 16:28:33.561970] 0,3.12,4.03
[2016-04-24 16:28:43.463501] 0,3.12,4.03
[2016-04-24 16:28:53.370317] 0,3.12,4.03
[2016-04-24 16:29:03.418287] 0,3.12,4.03
[2016-04-24 16:29:13.319650] 0,3.12,4.03
[2016-04-24 16:29:23.234789] 0,3.13,4.03
[2016-04-24 16:29:33.226964] 0,3.12,4.03
[2016-04-24 16:29:43.130973] 0,3.12,4.03
[2016-04-24 16:29:53.186669] 0,3.12,4.03
[2016-04-24 16:30:03.090622] 0,3.12,4.03
[2016-04-24 16:30:13.011236] 0,3.13,4.03
[2016-04-24 16:30:22.927938] 0,3.12,4.03
[2016-04-24 16:30:32.831428] 0,3.13,4.03
[2016-04-24 16:30:42.833613] 0,3.11,4.03
[2016-04-24 16:30:52.735759] 0,3.13,4.03
[2016-04-24 16:31:02.655268] 0,3.12,4.03
[2016-04-24 16:31:12.561276] 0,3.12,4.03
[2016-04-24 16:31:22.627601] 0,3.12,4.03
[2016-04-24 16:31:32.534732] 0,3.13,4.03
[2016-04-24 16:31:42.443549] 0,3.13,4.03
[2016-04-24 16:31:52.508198] 0,3.12,4.03
[2016-04-24 16:32:02.420973] 0,3.12,4.03
[2016-04-24 16:32:12.449780] 0,3.12,4.03
[2016-04-24 16:32:22.354418] 0,3.12,4.03
[2016-04-24 16:32:43.096774] no,date,time,lat,lon,ele,speed,head,sat
[2016-04-24 16:32:43.110387] no,vcc,vbat
[2016-04-24 16:32:44.272888] 0,3.13,4.04
[2016-04-24 16:32:54.336060] 0,3.12,4.03
[2016-04-24 16:33:04.241707] 0,3.13,4.03
[2016-04-24 16:33:14.149541] 0,3.13,4.03
[2016-04-24 16:33:24.205480] 0,3.12,4.03
[2016-04-24 16:33:34.110403] 0,3.12,4.04
[2016-04-24 16:33:44.180519] 0,3.12,4.03
[2016-04-24 16:33:54.089072] 0,3.13,4.04
[2016-04-24 16:34:04.004239] 0,3.12,4.04
[2016-04-24 16:34:13.999480] 0,3.12,4.04
[2016-04-24 16:34:23.903624] 0,3.13,4.04
[2016-04-24 16:34:33.820413] 0,3.12,4.04
[2016-04-24 16:34:43.761496] 0,3.13,4.04
[2016-04-24 16:34:53.669222] 0,3.13,4.03
[2016-04-24 16:35:03.716628] 0,3.12,4.03
[2016-04-24 16:35:13.618468] 0,3.13,4.03
[2016-04-24 16:35:23.539113] 0,3.13,4.04
[2016-04-24 16:35:33.451305] 0,3.13,4.04
[2016-04-24 16:35:43.353476] 0,3.13,4.04
[2016-04-24 16:35:53.262824] 0,3.13,4.04
[2016-04-24 16:36:03.164271] 0,3.13,4.04
[2016-04-24 16:36:13.231996] 0,3.12,4.04
[2016-04-24 16:36:23.136268] 0,3.12,4.04
[2016-04-24 16:36:33.037978] 0,3.13,4.04
[2016-04-24 16:36:43.088959] 0,3.12,4.04
[2016-04-24 16:36:52.990181] 0,3.13,4.04
[2016-04-24 16:37:02.905300] 0,3.13,4.04
[2016-04-24 16:37:12.960163] 0,3.12,4.04
[2016-04-24 16:37:22.864029] 0,3.12,4.04
[2016-04-24 16:37:32.814339] 0,3.12,4.04
[2016-04-24 16:37:42.719224] 0,3.13,4.04
[2016-04-24 16:37:52.633568] 0,3.13,4.04
[2016-04-24 16:38:02.542213] 0,3.13,4.04
[2016-04-24 16:38:12.459802] 0,3.13,4.04
[2016-04-24 16:38:22.515362] 0,3.13,4.04
[2016-04-24 16:38:32.419179] 0,3.13,4.04
[2016-04-24 16:38:42.474820] 0,3.12,4.04
[2016-04-24 16:38:52.376468] 0,3.13,4.04
[2016-04-24 16:39:02.442126] 0,3.12,4.03
[2016-04-24 16:39:12.344021] 0,3.13,4.04
[2016-04-24 16:39:22.262480] 0,3.12,4.04
